Year,District,GDP,GrowthRate,State
2002,Chitrakoot,562.27,2.469383292,Uttar Pradesh
2002,Deoria,1667.7,0.397327072,Uttar Pradesh
2002,Etah,2866.29,5.742576449,Uttar Pradesh
2002,Etawa,1439.66,6.703923036,Uttar Pradesh
2002,Faizabad,1629.1,-5.642017712,Uttar Pradesh
2002,Farrukhabad,1639.94,-1.406215243,Uttar Pradesh
2002,Fatehpur,1842.67,-6.891185165,Uttar Pradesh
2002,Firozabad,2566.68,2.336040573,Uttar Pradesh
2002,Gautambudh Nagar,4571.72,-2.256449289,Uttar Pradesh
2002,Ghaziabad,6488.39,3.193592458,Uttar Pradesh
2002,Ghazipur,2170.24,-1.177542006,Uttar Pradesh
2002,Gonda,1927.5,0.502643571,Uttar Pradesh
2002,Gorakhpur,3347.39,2.07075512,Uttar Pradesh
2002,Hamirpur,1181.87,5.646732815,Uttar Pradesh
2002,Hardoi,2624.31,4.330143636,Uttar Pradesh
2002,Hath Ras (Mahamaya Nagar),2034.18,6.460324272,Uttar Pradesh
2002,Jalaun,1768.28,5.512262068,Uttar Pradesh
2002,Jaunpur,2568.41,-2.59958437,Uttar Pradesh
2002,Jhansi,2805.42,2.668618481,Uttar Pradesh
2002,Jyotiba Phule Nagar,2604.97,9.343177831,Uttar Pradesh
2002,Kannauj,1450.51,-22.90631361,Uttar Pradesh
2002,Kanpur: Rural,1761.88,-1.574248908,Uttar Pradesh
2002,Kanpur: Urban,6804.9,5.20188856,Uttar Pradesh
2002,Kaushambi,1195.51,-4.261930121,Uttar Pradesh
2002,Kheri,3642.5,4.6001074,Uttar Pradesh
2002,Kushi Nagar,2057.87,2.680950433,Uttar Pradesh
2002,Lalitpur,856.92,-3.299629864,Uttar Pradesh
2002,Lucknow,8868.54,38.67516055,Uttar Pradesh
2002,Maharajganj,1626.05,5.146592864,Uttar Pradesh
2002,Mahoba,909.91,4.223174196,Uttar Pradesh
2002,Mainpuri,1676.06,-2.394623744,Uttar Pradesh
2002,Mathura,3093.96,4.785515434,Uttar Pradesh
2002,Mau,1762.27,4.015369723,Uttar Pradesh
2002,Meerut,5266.38,-0.422408447,Uttar Pradesh
2002,Mirzapur,1826.0,-3.251102068,Uttar Pradesh
2002,Moradabad,4765.73,1.827268435,Uttar Pradesh
2002,Muzaffarnagar,5451.46,1.866935748,Uttar Pradesh
2002,Pilibhit,1972.68,3.596804941,Uttar Pradesh
2002,Pratapgarh,1708.56,0.150058617,Uttar Pradesh
2002,Rae Bareli,2164.81,-2.257529991,Uttar Pradesh
2002,Rampur,2548.78,-2.485700622,Uttar Pradesh
2002,Saharanpur,4678.19,7.976503716,Uttar Pradesh
2002,Sant Kabeer Nagar,943.93,-0.867473929,Uttar Pradesh
2002,Sant Ravidas Nagar,1291.94,-1.902809415,Uttar Pradesh
2002,Shahjahanpur,2637.07,-5.883129722,Uttar Pradesh
2002,Shravasti,557.66,-12.6349266,Uttar Pradesh
2002,Siddharth Nagar,1244.49,-4.194092242,Uttar Pradesh
2002,Sitapur,3413.5,-1.491977375,Uttar Pradesh
2002,Sonbhadra,3939.52,14.07061658,Uttar Pradesh
2002,Sultanpur,2547.09,-3.108999475,Uttar Pradesh
2002,Unnao,3121.87,30.64841474,Uttar Pradesh
2002,Varanasi,3249.38,6.770193274,Uttar Pradesh
2003,Agra,5421.66,7.177084569,Uttar Pradesh
2003,Aligarh,4296.58,4.888266111,Uttar Pradesh
2003,Allahabad,6116.85,8.820803305,Uttar Pradesh
2003,Ambedkar Nagar,1605.11,12.47827671,Uttar Pradesh
2003,Auraiyya,1221.24,4.057531399,Uttar Pradesh
2003,Azamgarh,2955.54,12.68644197,Uttar Pradesh
2003,Badaun,3587.55,7.83786221,Uttar Pradesh
2003,Bagpat,2132.58,5.384930891,Uttar Pradesh
2003,Bahraich,1709.38,4.940757566,Uttar Pradesh
2003,Ballia,2019.05,10.48697337,Uttar Pradesh
2003,Balrampur,1305.0,19.93162519,Uttar Pradesh
2003,Banda,1515.91,14.22812319,Uttar Pradesh
2003,Barabanki,2858.51,9.324587907,Uttar Pradesh
2003,Bareilly,4886.76,5.906064704,Uttar Pradesh
2003,Basti,1470.89,5.428806938,Uttar Pradesh
2003,Bijnor,4793.31,2.739470582,Uttar Pradesh
2003,BulandShahar,5073.45,-4.411958656,Uttar Pradesh
2003,Chandauli,1879.77,6.934528719,Uttar Pradesh
2003,Chitrakoot,609.4,8.382094012,Uttar Pradesh
2003,Deoria,1706.65,2.335551958,Uttar Pradesh
2003,Etah,3015.73,5.213708313,Uttar Pradesh
2003,Etawa,1501.28,4.280177264,Uttar Pradesh
2003,Faizabad,1902.74,16.79700448,Uttar Pradesh
2003,Farrukhabad,1600.6,-2.398868251,Uttar Pradesh
2003,Fatehpur,1948.83,5.761205208,Uttar Pradesh
2003,Firozabad,2590.58,0.931163994,Uttar Pradesh
2003,Gautambudh Nagar,4984.51,9.029205638,Uttar Pradesh
2003,Ghaziabad,6779.79,4.491098716,Uttar Pradesh
2003,Ghazipur,2299.67,5.963856532,Uttar Pradesh
2003,Gonda,2081.09,7.968352789,Uttar Pradesh
2003,Gorakhpur,3571.97,6.709107693,Uttar Pradesh
2003,Hamirpur,1219.31,3.167861101,Uttar Pradesh
2003,Hardoi,2947.62,12.31980978,Uttar Pradesh
2003,Hath Ras (Mahamaya Nagar),2125.13,4.471089087,Uttar Pradesh
2003,Jalaun,1863.13,5.363969507,Uttar Pradesh
2003,Jaunpur,2685.47,4.557683547,Uttar Pradesh
2003,Jhansi,2925.12,4.266740809,Uttar Pradesh
2003,Jyotiba Phule Nagar,2762.1,6.03193127,Uttar Pradesh
2003,Kannauj,1354.16,-6.642491262,Uttar Pradesh
2003,Kanpur: Rural,1911.68,8.502281654,Uttar Pradesh
2003,Kanpur: Urban,7147.67,5.037105615,Uttar Pradesh
2003,Kaushambi,1273.53,6.526085102,Uttar Pradesh
2003,Kheri,3597.32,-1.240356898,Uttar Pradesh
2003,Kushi Nagar,2127.09,3.363672146,Uttar Pradesh
2003,Lalitpur,1014.52,18.39144844,Uttar Pradesh
2003,Lucknow,7793.91,-12.11732709,Uttar Pradesh
2003,Maharajganj,1685.61,3.662863996,Uttar Pradesh
2003,Mahoba,980.49,7.756811113,Uttar Pradesh
2003,Mainpuri,1724.41,2.884741596,Uttar Pradesh
2003,Mathura,3265.47,5.543381298,Uttar Pradesh
2003,Mau,1859.31,5.506534186,Uttar Pradesh
2003,Meerut,5777.28,9.701160949,Uttar Pradesh
2003,Mirzapur,1956.62,7.153340635,Uttar Pradesh
2003,Moradabad,5052.54,6.0181756,Uttar Pradesh
2003,Muzaffarnagar,5671.71,4.040202074,Uttar Pradesh
2003,Pilibhit,1947.12,-1.295699252,Uttar Pradesh
2003,Pratapgarh,1885.79,10.3730627,Uttar Pradesh
2003,Rae Bareli,2255.84,4.204987967,Uttar Pradesh
2003,Rampur,2585.84,1.454028986,Uttar Pradesh
2003,Saharanpur,5161.47,10.33049107,Uttar Pradesh
2003,Sant Kabeer Nagar,1052.9,11.54428824,Uttar Pradesh
2003,Sant Ravidas Nagar,1399.99,8.363391489,Uttar Pradesh
2003,Shahjahanpur,2904.23,10.13094078,Uttar Pradesh
2003,Shravasti,737.96,32.33152817,Uttar Pradesh
2003,Siddharth Nagar,1487.36,19.51562487,Uttar Pradesh
2003,Sitapur,3748.1,9.802255749,Uttar Pradesh
2003,Sonbhadra,3974.29,0.882594834,Uttar Pradesh
2003,Sultanpur,2792.68,9.641983597,Uttar Pradesh
